x,y,z
-1.4794898033,-0.5926526189,-0.4270514548
-15.5624485016,-6.2308387756,0.2926070392
-1.6482281685,-0.6595776081,-0.4098608494
-10.2253093719,-4.0898332596,0.5771610141
-1.8520195484,-0.7407551408,-0.3877238929
-15.5883903503,-6.231757164,1.4687485695
-2.1425390244,-0.856086731,-0.3654309809
-14.112112999,-5.6358752251,1.8658198118
-2.5516035557,-1.0185033083,-0.3373343647
-11.1699514389,-4.4563574791,1.904746294
-3.1144764423,-1.242549777,-0.2933662236
-9.3004436493,-3.7086210251,1.9462518692
-5.5697050095,-2.2198348045,-0.3142251074
-7.9638895988,-3.1724364758,1.9791193008
-15.5632352829,-6.196513176,-0.2923976481
-6.8602852821,-2.7300386429,1.9784128666
-1.4743663073,-0.5846361518,-0.4249808788
-15.5636529922,-6.1683769226,0.2922230959
-1.6523320675,-0.6545382738,-0.4103107452
-1.8564194441,-0.7350085378,-0.3881055415
-15.6026391983,-6.1743688583,1.4680511951
-2.1326553822,-0.8435172439,-0.3632408679
-14.1704683304,-5.6019058228,1.8709384203
-2.5496051311,-1.007401228,-0.3366031349
-11.2129974365,-4.4282259941,1.9094393253
-3.1187946796,-1.2316713333,-0.2933662236
-9.3005495071,-3.6710879803,1.9435806274
-5.5681304932,-2.1967129707,-0.3137017488
-7.9930438995,-3.1517686844,1.9836184978
-15.5568637848,-6.1311511993,-0.2918740511
-6.8805575371,-2.7103230953,1.9815186262
-1.4853894711,-0.5830155611,-0.4275690913
-15.5795087814,-6.1118168831,0.2921183705
-1.6437211037,-0.6444982886,-0.4076113105
-1.8662850857,-0.731389761,-0.3896319866
-15.6203842163,-6.1184177399,1.4677026272
-2.1337475777,-0.8353475928,-0.3629280031
-14.1289319992,-5.5285367966,1.8628948927
-2.5512571335,-0.9977728128,-0.3363594413
-11.2375850677,-4.3926534653,1.9110037088
-3.1360645294,-1.2258546352,-0.2945863903
-9.3023366928,-3.6343114376,1.9412908554
-5.5683221817,-2.1743581295,-0.313283056
-7.9676895142,-3.1096777916,1.9746204615
-15.5837612152,-6.0789866447,-0.2919787765
-6.864777565,-2.6764659882,1.9742717743
-1.4928178787,-0.5799256563,-0.4291220009
-15.682767868,-6.089243412,0.2936541736
-1.645960927,-0.6387566328,-0.4076113105
-1.8669967651,-0.7241603136,-0.3892503977
-4.3841195107,-1.6996078491,0.4113751054
-2.1421761513,-0.8300353289,-0.3638666272
-2.5528731346,-0.9881446362,-0.3361156881
-3.1328918934,-1.2120245695,-0.2938891649
-4.3708600998,-1.6874514818,-0.0817819759
-1.493029952,-0.5740175247,-0.4286043644
-4.3660392761,-1.6777141094,0.0816423595
-1.6518188715,-0.6344050169,-0.408511132
-4.3668980598,-1.6762949228,0.2451416254
-1.8585159779,-0.7134173512,-0.3869606555
-4.3844451904,-1.6821528673,0.410852164
-2.146904707,-0.8232604265,-0.3641794622
-4.3726792336,-1.6758881807,0.5749796629
-2.5525994301,-0.9778071046,-0.3356282115
-4.3703079224,-1.673230052,0.7411866188
-3.1426854134,-1.2032185793,-0.2944121063
-3.6213436127,-1.3857544661,0.7536956072
-4.2756686211,-1.6352850199,-0.2399080396
-3.596871376,-1.3749506474,0.8890065551
-4.3747005463,-1.6705361605,1.2547547817
-1.482385397,-0.5639936328,-0.4249808788
-4.3531770706,-1.6553566456,0.0812933072
-1.657666564,-0.6300194263,-0.4094109237
-4.3633871078,-1.657495141,0.2446182817
-1.8609950542,-0.706925571,-0.3869606555
-4.3660759926,-1.6576457024,0.4085861146
-2.1442248821,-0.8136582971,-0.3632408679
-4.3673658371,-1.6563904285,0.5735172033
-2.5597093105,-0.9702987075,-0.3361156881
-4.3742742538,-1.6572643518,0.7408736944
-3.1356873512,-1.188005805,-0.2933662236
-3.5784218311,-1.3550286293,0.74377352
-3.5815992355,-1.3548027277,0.884057641
-4.3694410324,-1.6519459486,-0.081537649
-6.9177284241,-2.6139922142,1.9815186262
-1.4861528873,-0.5594966412,-0.4254985154
-4.3813881874,-1.6486018896,0.081712164
-1.6635037661,-0.6256011724,-0.4103107452
-9.9117212296,-3.7275447845,0.5549705029
-1.8689643145,-0.7024978399,-0.3881055415
-4.3942170143,-1.6508021355,0.4106778502
-2.1452028751,-0.8054741621,-0.3629280031
-9.9375591278,-3.7293479443,1.3032708168
-2.5630807877,-0.9613570571,-0.3361156881
-9.9857473373,-3.7454411983,1.6891795397
-3.1398153305,-1.1770528555,-0.2933662236
-3.5812911987,-1.3418413401,0.7433918715
-3.6323375702,-1.3602435589,-0.2032728791
-7.9939050674,-2.991979599,1.9705711603
-6.9317860603,-2.5930697918,1.9830715656
-1.4935280085,-0.5563285947,-0.4270514548
-9.9486055374,-3.7057847977,0.1853096485
-1.6509588957,-0.6146419644,-0.4067115188
-3.5584313869,-1.3240762949,0.1989813298
-1.878765583,-0.6987068653,-0.3896319866
-3.5819649696,-1.3314088583,0.3343294263
-2.1386041641,-0.7949146628,-0.3613636792
-10.007557869,-3.7178032398,1.3108267784
-2.5681154728,-0.9535437822,-0.3363594413
-3.5742931366,-1.3264276981,0.6038370728
-3.1476407051,-1.1674720049,-0.2937148511
-3.5378627777,-1.3122068644,0.7334697843
-3.5750281811,-1.325281024,-0.1998187006
-3.5573489666,-1.3173160553,-0.0662144274
-1.4989898205,-0.5527094007,-0.4280866981
-3.5481557846,-1.3075771332,0.066004999
-1.6567513943,-0.6102226973,-0.4076113105
-3.5386657715,-1.3026771545,0.1976206005
-1.8773874044,-0.691116333,-0.3888687491
-3.5583126545,-1.3092036247,0.3317147493
-2.1599056721,-0.794262886,-0.3644923568
-3.547598362,-1.3038567305,0.464078486
-2.5583851337,-0.9397815466,-0.3346532285
-3.5455229282,-1.3016893864,0.5982054472
-3.1514949799,-1.157027483,-0.2937148511
-3.5424215794,-1.299849391,0.7334697843
-3.5571308136,-1.3045414686,-0.198562637
-3.5368094444,-1.2963894606,0.8696607947
-3.5769467354,-1.3103934526,-0.0664936677
-3.5501449108,-1.2998709679,1.0130177736
-1.4972801208,-0.5461495519,-0.4270514548
-1.6625335217,-0.6057701111,-0.408511132
-1.8742542267,-0.6825433969,-0.3877238929
-3.5534996986,-1.2933683395,0.3308432102
-2.1608085632,-0.7860431671,-0.3641794622
-2.559784174,-0.930167973,-0.3344095051
-3.1517691612,-1.1446594,-0.2933662236
-3.5580103397,-1.2914942503,0.7357594967
-3.5503976345,-1.2880307436,-0.1979345977
-3.5449771881,-1.2853642702,0.8705605865
-3.5532989502,-1.2876790762,-0.0659701005
-3.5582928658,-1.2887872458,1.0140531063
-1.4919086695,-0.5382970572,-0.4249808788
-3.566603899,-1.2861664295,0.0661795288
