x,y,z
0.0861596 , 1.43043 , -0.363108
-1.82089 , 16.0478 , 0.334653
0.0595554 , 1.63856 , -0.356166
-1.8159 , 16.044 , 0.901705
0.0155973 , 1.9782 , -0.360435
-1.80862 , 16.0446 , 1.47092
-0.0435942 , 2.43937 , -0.360153
-1.79953 , 16.0313 , 2.04191
-0.141497 , 3.20175 , -0.364536
-1.71303 , 15.3963 , 2.51695
-0.311963 , 4.5238 , -0.364188
-1.64044 , 14.8872 , 2.97704
-0.694638 , 7.50246 , -0.35676
-1.63157 , 14.8718 , 3.52279
-1.63139 , 14.7865 , -0.2111
-1.62057 , 14.8191 , 4.06628
0.0891012 , 1.44834 , -0.367763
-1.76903 , 16.0666 , 0.334721
0.0643966 , 1.64507 , -0.357526
-1.76073 , 16.0592 , 0.90197
0.0221643 , 1.983 , -0.361214
-1.75393 , 16.0637 , 1.47182
-0.0353549 , 2.44043 , -0.360177
-1.74744 , 16.048 , 2.04299
-0.128985 , 3.18934 , -0.362876
-1.65935 , 15.4052 , 2.5171
-0.296762 , 4.53176 , -0.364751
-1.59237 , 14.9052 , 2.9792
-0.673098 , 7.5334 , -0.358268
-1.58209 , 14.8781 , 3.52265
-1.58035 , 14.799 , -0.211349
-1.57248 , 14.8563 , 4.07445
0.0945313 , 1.44513 , -0.366746
-1.71277 , 16.0737 , 0.334558
0.0695747 , 1.65162 , -0.358886
-1.70645 , 16.0821 , 0.902662
0.0298556 , 1.97605 , -0.359715
-1.70172 , 16.0803 , 1.47255
-0.027891 , 2.45131 , -0.361756
-1.69246 , 16.0648 , 2.04405
-0.116966 , 3.18484 , -0.362184
-1.6059 , 15.4158 , 2.51758
-0.281827 , 4.53563 , -0.364967
-1.5423 , 14.9292 , 2.9825
-0.644214 , 7.51685 , -0.357319
-1.52999 , 14.8845 , 3.5225
-1.52902 , 14.8094 , -0.211565
-1.52183 , 14.8742 , 4.07741
0.101591 , 1.43042 , -0.362636
-1.65888 , 16.1004 , 0.334765
0.0743296 , 1.66201 , -0.361143
-1.65109 , 16.0968 , 0.902925
0.0371455 , 1.97495 , -0.359356
-1.64613 , 16.093 , 1.47291
-0.0191763 , 2.45237 , -0.361781
-1.63831 , 16.0894 , 2.0461
-0.107341 , 3.2 , -0.363908
-1.55353 , 15.436 , 2.51963
-0.26442 , 4.52568 , -0.36398
-1.48932 , 14.9296 , 2.9812
-0.618287 , 7.52399 , -0.357601
-1.47648 , 14.8792 , 3.51963
-1.48114 , 14.8494 , -0.212273
-1.48143 , 14.9802 , 4.10428
0.106063 , 1.43679 , -0.364198
-1.60019 , 16.0872 , 0.334232
0.0807417 , 1.65885 , -0.360265
-1.59635 , 16.1174 , 0.903509
0.0437391 , 1.97969 , -0.360136
-1.59001 , 16.1017 , 1.47293
-0.00908777 , 2.44162 , -0.359941
-1.58358 , 16.1098 , 2.04766
-0.0948689 , 3.19147 , -0.362733
-1.50353 , 15.4777 , 2.52514
-0.248462 , 4.52755 , -0.364026
-1.43816 , 14.9455 , 2.98296
-0.593689 , 7.54295 , -0.358498
-1.42481 , 14.8891 , 3.52038
-1.42733 , 14.8395 , -0.212161
-1.46977 , 15.3452 , 4.2013
0.111235 , 1.43738 , -0.364213
-1.54613 , 16.1135 , 0.334438
0.0866884 , 1.65953 , -0.360282
-1.54081 , 16.1318 , 0.903772
0.0492595 , 1.99415 , -0.362814
-1.53564 , 16.1259 , 1.47435
-0.00107288 , 2.4485 , -0.360899
-1.52629 , 16.1083 , 2.04651
-0.0846786 , 3.20262 , -0.363974
-1.44824 , 15.474 , 2.52341
-0.2325 , 4.52937 , -0.364073
-1.38733 , 14.9651 , 2.9855
-0.563207 , 7.51022 , -0.356728
-1.36838 , 14.8563 , 3.5112
-1.37624 , 14.8534 , -0.212443
-1.41518 , 15.3436 , 4.19907
0.115772 , 1.44372 , -0.365775
-1.49232 , 16.1437 , 0.334717
0.0930648 , 1.65631 , -0.359403
-1.48325 , 16.1281 , 0.903074
0.0570196 , 1.98909 , -0.361695
-1.48133 , 16.152 , 1.47595
0.00763178 , 2.44946 , -0.360924
-1.47074 , 16.1225 , 2.04733
-0.073344 , 3.20387 , -0.364007
-1.3985 , 15.5212 , 2.52986
-0.215734 , 4.53121 , -0.364122
-1.33597 , 14.9806 , 2.98726
-0.53791 , 7.52305 , -0.357318
-1.30431 , 14.7496 , 3.48484
-1.31674 , 14.7895 , -0.211444
-1.36452 , 15.3782 , 4.20671
0.122049 , 1.43662 , -0.363728
-1.43643 , 16.1557 , 0.334663
0.0977631 , 1.66858 , -0.362108
-1.42595 , 16.1262 , 0.902483
0.0655106 , 1.98012 , -0.359819
-1.4153 , 16.0949 , 1.47013
0.0151142 , 2.46616 , -0.363438
-1.40664 , 16.0555 , 2.03808
-0.062002 , 3.20508 , -0.36404
-1.34435 , 15.529 , 2.53002
-0.198511 , 4.52102 , -0.363134
-1.2825 , 15.0021 , 2.99017
-0.510788 , 7.53195 , -0.357707
-1.24706 , 14.7263 , 3.4779
-1.2372 , 14.5284 , -0.207186
-1.30472 , 15.3263 , 4.19096
0.128411 , 1.42563 , -0.360649
-1.3506 , 15.9033 , 0.329693
0.104443 , 1.66536 , -0.36123
-1.33916 , 15.8622 , 0.887805
0.0721782 , 1.98476 , -0.360599
-1.32634 , 15.7797 , 1.44141
0.0250841 , 2.45527 , -0.361598
-1.31648 , 15.7535 , 1.99957
-0.0510935 , 3.21618 , -0.365283
-1.2831 , 15.4936 , 2.52324
-0.182176 , 4.52671 , -0.363528
-1.23094 , 15.0173 , 2.99194
-0.48494 , 7.54062 , -0.358092
-1.21639 , 14.9409 , 3.52655
-1.1546 , 14.2434 , -0.202535
-1.2562 , 15.4108 , 4.2121
0.132843 , 1.43579 , -0.363243
-1.26033 , 15.5587 , 0.32304
0.110412 , 1.66596 , -0.361248
0.079811 , 1.98356 , -0.360241
-1.23457 , 15.4405 , 1.41057
0.0346342 , 2.45226 , -0.361003
-1.2274 , 15.4113 , 1.95617
-0.0400963 , 3.22127 , -0.3658
-1.20671 , 15.2709 , 2.48656
-0.164666 , 4.51242 , -0.362195
-1.17534 , 15.0188 , 2.99101
-0.457904 , 7.55132 , -0.358584
-1.16462 , 14.9793 , 3.53407
-1.07771 , 13.9696 , -0.198069
-1.19927 , 15.3854 , 4.20363
0.137272 , 1.44398 , -0.365321
-1.16984 , 15.2138 , 0.316386
0.118166 , 1.65104 , -0.357682
0.0859596 , 1.99401 , -0.36216
-1.14834 , 15.1045 , 1.3801
0.044098 , 2.44523 , -0.359785
-1.13791 , 15.067 , 1.91252
-0.0281253 , 3.22241 , -0.365835
-1.13182 , 15.0757 , 2.45429
-0.149876 , 4.52585 , -0.363276
-1.12402 , 15.0375 , 2.99354
-0.428221 , 7.52004 , -0.356915
-1.11144 , 14.9766 , 3.53211
-1.00556 , 13.7515 , -0.194527
-1.15015 , 15.4715 , 4.22528
0.142647 , 1.44254 , -0.364821
-1.10254 , 15.0655 , 0.313394
0.124086 , 1.65159 , -0.357699
-1.09762 , 15.087 , 0.844883
0.0936156 , 1.98881 , -0.361042
-1.09221 , 15.0737 , 1.37677
0.0517116 , 2.45784 , -0.361676
-1.08389 , 15.058 , 1.91065
-0.0149237 , 3.2037 , -0.36345
-1.07885 , 15.0786 , 2.45382
-0.133741 , 4.52533 , -0.36315
-1.0717 , 15.0463 , 2.99415
-0.401809 , 7.52247 , -0.356992
-1.05847 , 14.9755 , 3.5306
-0.93417 , 13.497 , -0.19038
-1.0888 , 15.3957 , 4.20331
0.147839 , 1.44301 , -0.364836
-1.05083 , 15.0822 , 0.313461
0.129835 , 1.65406 , -0.358165
-1.05197 , 15.1432 , 0.847508
0.101232 , 1.98357 , -0.359923
-1.04011 , 15.0864 , 1.37732
0.0601018 , 2.46255 , -0.362323
-1.03323 , 15.0864 , 1.91344
-0.00293791 , 3.19081 , -0.361789
-1.02835 , 15.0791 , 2.45305
-0.117269 , 4.52079 , -0.36268
-1.02086 , 15.0724 , 2.99822
-0.378151 , 7.55663 , -0.358713
-1.01131 , 15.011 , 3.53768
-0.869307 , 13.2698 , -0.186683
-1.04514 , 15.4887 , 4.22705
0.153432 , 1.43574 , -0.362787
-1.00032 , 15.0825 , 0.313241
0.135304 , 1.65649 , -0.358629
-0.992527 , 15.0401 , 0.841606
0.107958 , 1.98415 , -0.359943
-0.989755 , 15.0887 , 1.377
0.0692489 , 2.45342 , -0.360793
-0.984032 , 15.1026 , 1.91477
0.00762522 , 3.1937 , -0.362062
-0.978183 , 15.0834 , 2.4529
-0.101129 , 4.51017 , -0.361689
-0.971205 , 15.0826 , 2.99922
-0.349624 , 7.51896 , -0.356731
-0.963447 , 15.0405 , 3.54341
-0.80265 , 13.0025 , -0.182321
-0.987142 , 15.4141 , 4.20561
0.158025 , 1.44 , -0.363833
-0.951125 , 15.0986 , 0.313315
0.139991 , 1.66862 , -0.361334
-0.946143 , 15.1221 , 0.845607
0.113729 , 1.99645 , -0.362241
-0.940843 , 15.1087 , 1.37826
0.0780123 , 2.44819 , -0.359884
-0.93442 , 15.1146 , 1.9156
0.0178137 , 3.20848 , -0.363788
-0.927091 , 15.1094 , 2.45621
-0.0861849 , 4.52338 , -0.36277
-0.921023 , 15.0867 , 2.99907
-0.324222 , 7.51702 , -0.356599
-0.911076 , 15.0486 , 3.54416
-0.743793 , 12.8388 , -0.179679
-0.911098 , 15.1374 , 4.12961
0.163618 , 1.4385 , -0.363333
-0.897329 , 15.0909 , 0.312939
0.146885 , 1.65743 , -0.358663
-0.895036 , 15.1501 , 0.846731
0.120905 , 2.00096 , -0.363023
-0.885906 , 15.1211 , 1.3788
0.0876082 , 2.44301 , -0.358978
-0.881336 , 15.1168 , 1.9152
0.0285603 , 3.21729 , -0.364789
-0.874783 , 15.1214 , 2.45731
-0.0697794 , 4.51867 , -0.3623
-0.866284 , 15.1008 , 3.00083
-0.294835 , 7.49728 , -0.355549
-0.855011 , 15.0432 , 3.54174
-0.681845 , 12.619 , -0.176108
-0.857071 , 15.128 , 4.12582
0.167782 , 1.45239 , -0.366959
-0.837555 , 15.0373 , 0.311711
0.15414 , 1.6443 , -0.355545
-0.841409 , 15.1462 , 0.846149
0.128629 , 1.99367 , -0.361524
-0.835286 , 15.1569 , 1.38147
0.0951254 , 2.45942 , -0.361491
-0.826479 , 15.1309 , 1.91627
0.0424076 , 3.19245 , -0.361679
-0.822256 , 15.1313 , 2.4581
-0.0542883 , 4.52582 , -0.362864
-0.814395 , 15.1184 , 3.00336
-0.268069 , 7.49326 , -0.355318
-0.804695 , 15.0802 , 3.54926
-0.623468 , 12.4268 , -0.172996
-0.817584 , 15.3207 , 4.17656
0.173837 , 1.4412 , -0.363879
-0.781883 , 14.9611 , 0.310096
0.159741 , 1.6447 , -0.355561
-0.78865 , 15.154 , 0.846206
0.136856 , 1.97851 , -0.358506
-0.782354 , 15.1627 , 1.38149
0.103152 , 2.46396 , -0.362138
-0.776974 , 15.1464 , 1.91759
0.0534219 , 3.18926 , -0.361227
-0.77009 , 15.1469 , 2.45983
-0.0383316 , 4.52696 , -0.362911
-0.765451 , 15.1416 , 3.00704
-0.244865 , 7.52093 , -0.356728
-0.755731 , 15.1012 , 3.55318
-0.565356 , 12.2184 , -0.169615
-0.761571 , 15.2898 , 4.16706
0.179027 , 1.43769 , -0.362862
-0.725614 , 14.9069 , 0.308878
0.164452 , 1.66261 , -0.359612
-0.736649 , 15.1736 , 0.846902
0.143168 , 1.98485 , -0.359666
-0.731919 , 15.1661 , 1.38134
0.112704 , 2.45273 , -0.360297
-0.725503 , 15.1738 , 1.92038
0.064313 , 3.19597 , -0.361986
-0.717303 , 15.1544 , 2.4603
-0.0221136 , 4.51208 , -0.361575
-0.712551 , 15.1471 , 3.00727
-0.215307 , 7.47488 , -0.354337
-0.702591 , 15.1009 , 3.55212
-0.511832 , 12.0576 , -0.167024
-0.704312 , 15.2356 , 4.15132
0.184076 , 1.43995 , -0.363393
-0.672521 , 14.8963 , 0.308468
0.170412 , 1.663 , -0.359629
-0.685289 , 15.205 , 0.848236
0.150252 , 1.98531 , -0.359687
-0.678809 , 15.1696 , 1.38118
0.121172 , 2.45724 , -0.360945
-0.672621 , 15.1812 , 1.92072
0.0751263 , 3.20462 , -0.362987
-0.665702 , 15.1815 , 2.46392
-0.00620508 , 4.5131 , -0.361622
-0.659874 , 15.1564 , 3.00827
-0.189303 , 7.48055 , -0.35462
-0.637766 , 14.9098 , 3.5068
-0.456727 , 11.8527 , -0.163702
-0.649309 , 15.212 , 4.14389
0.188786 , 1.44799 , -0.365472
-0.62289 , 14.9415 , 0.309084
0.176963 , 1.65364 , -0.357406
-0.632284 , 15.2122 , 0.848293
0.156746 , 1.99555 , -0.361607
-0.627471 , 15.2027 , 1.38367
